original_name,english_name,slug,smiles,inchi,skeletal_svg_path,full_atoms_svg_path,render_type,resolver_status,status,reason
"1,3-Bisphosphoglycerat","1,3-Bisphosphoglycerat",1-3-bisphosphoglycerat,,,assets/molecules/nicht_vorhanden/1-3-bisphosphoglycerat__skeletal.svg,assets/molecules/nicht_vorhanden/1-3-bisphosphoglycerat__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
2 ADP,2 ADP,2-adp,,"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/2-adp__skeletal.svg,assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/2-adp__full_atoms.svg,structure,resolved,generated_structure,
2 ATP,2 ATP,2-atp,,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/2-atp__skeletal.svg,assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/2-atp__full_atoms.svg,structure,resolved,generated_structure,
2 Farnesylpyrophosphat,2 Farnesylpyrophosphat,2-farnesylpyrophosphat,,,assets/molecules/nicht_vorhanden/2-farnesylpyrophosphat__skeletal.svg,assets/molecules/nicht_vorhanden/2-farnesylpyrophosphat__full_atoms.svg,placeholder,unresolved,generated_placeholder,stoichiometric_expression
2 GSH,2 GSH,2-gsh,,"InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1",assets/molecules/vorhanden/redox_cofaktoren/2-gsh__skeletal.svg,assets/molecules/vorhanden/redox_cofaktoren/2-gsh__full_atoms.svg,structure,resolved,generated_structure,
2 H⁺,2 H⁺,2-hplus,,InChI=1S/p+1,assets/molecules/vorhanden/kleine_molekuele_ionen/2-hplus__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/2-hplus__full_atoms.svg,structure,resolved,generated_structure,
2 H₂O,2 H₂O,2-h-o,,InChI=1S/H2O/h1H2,assets/molecules/vorhanden/kleine_molekuele_ionen/2-h-o__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/2-h-o__full_atoms.svg,structure,resolved,generated_structure,
2 NADP⁺,2 NADP⁺,2-nadpplus,,"InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",assets/molecules/vorhanden/redox_cofaktoren/2-nadpplus__skeletal.svg,assets/molecules/vorhanden/redox_cofaktoren/2-nadpplus__full_atoms.svg,structure,resolved,generated_structure,
2 NADPH,2 NADPH,2-nadph,,"InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",assets/molecules/vorhanden/redox_cofaktoren/2-nadph__skeletal.svg,assets/molecules/vorhanden/redox_cofaktoren/2-nadph__full_atoms.svg,structure,resolved,generated_structure,
2 PPi,2 PPi,2-ppi,,"InChI=1S/H4O7P2/c1-8(2,3)7-9(4,5)6/h(H2,1,2,3)(H2,4,5,6)/p-4",assets/molecules/vorhanden/kleine_molekuele_ionen/2-ppi__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/2-ppi__full_atoms.svg,structure,resolved,generated_structure,
